Page Name,Total Follows,Total Likes
NYUAD,"28,339","29,616"
NYUAD,"28,339","29,616"
NYUAD,"28,340","29,617"
AbuDhabiUni,189K,191K
ZayedUniversity,"35,298","35,966"
AbuDhabiSchoolOfManagement,"13,974","14,049"
AAU.UAE,"61,195","61,889"
KIC.UAE,"27,288","27,743"
ECAEinfo,"2,247","2,356"
ectuae,"69,475","70,009"
eibfs,"10,197","10,257"
khalifauniversity,"34,284","35,752"
UniversityOfStrathclyde,"86,624","89,362"
UAEUNews,"9,654","9,993"
mynyit,"27,420","28,149"
sorbonnead,"79,142","82,223"
INSEAD,141K,146K
hctuae,"14,599","15,268"
Fatima-College-of-Nursing-and-Health-Sciences-105860528214576,532,544
